Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location
0370837-01-001,370837,Columbus Day Celebration Inc,Columbus Day Celebration Inc,678 Green St,San Francisco,CA,94133,01/01/1941,,01/01/1941,,678 Green St,San Francisco,94133,CA,,,false,false,,,3,Chinatown,,"678 GREEN ST
San Francisco, CA 94133
(37.79936, -122.41022)"
0334899-01-001,334899,"The University Corp, Sf State",Village At Centennial Square,1600 Holloway Ave C6,San Francisco,CA,94132,01/01/1946,,01/01/1946,04/26/2014,1600 Holloway Ave Adm 350,San Francisco,94132,CA,,,false,false,,,7,Lakeshore,,"1600 HOLLOWAY AVE
San Francisco, CA 94132
(37.720848, -122.477023)"
0334899-02-001,334899,"The University Corp, Sf State",Whirlwind Wheelchair Intl,1600 Holloway Ave Sci 251,San Francisco,CA,94132,01/01/1946,,01/01/1953,07/01/2014,1600 Holloway Ave Adm 350,San Francisco,94132,CA,,,false,false,,,7,Lakeshore,,"1600 HOLLOWAY AVE
San Francisco, CA 94132
(37.720848, -122.477023)"
0334899-03-001,334899,"The University Corp, Sf State",Campus Copy Center,1650 Holloway Ave Plz Lvl,San Francisco,CA,94132,01/01/1946,,07/01/2012,,1600 Holloway Ave Adm 350,San Francisco,94132,CA,,,false,false,,,7,Lakeshore,,"1650 HOLLOWAY AVE PLZ
LVL San Francisco, CA 94132"
0334899-04-001,334899,"The University Corp, Sf State",Lobby Shop,1650 Holloway Ave Plz Lvl,San Francisco,CA,94132,01/01/1946,,07/01/2012,,1600 Holloway Ave Adm 350,San Francisco,94132,CA,,,false,false,H03,"Retail Mkts W/o Prep (Under 5,001)",7,Lakeshore,,"1650 HOLLOWAY AVE PLZ
LVL San Francisco, CA 94132"
0334899-05-001,334899,"The University Corp, Sf State",Healthy U,1650 Holloway Ave Plz Lvl,San Francisco,CA,94132,01/01/1946,,07/01/2012,,1600 Holloway Ave Adm 350,San Francisco,94132,CA,,,false,false,H03,"Retail Mkts W/o Prep (Under 5,001)",7,Lakeshore,,"1650 HOLLOWAY AVE PLZ
LVL San Francisco, CA 94132"
0314730-01-001,314730,Variety Club Of No. Ca,Variety Club Of No. Ca,582 Market St 101,San Francisco,CA,94104,01/01/1947,,01/01/1947,,582 Market St,San Francisco,94104,CA,8100-8399,Multiple,false,false,,,3,Financial District/South Beach,,"582 MARKET ST
San Francisco, CA 94104
(37.78926, -122.401407)"
0383792-01-001,383792,Potrero Hill Neighborhood Hse,Potrero Hill Neighborhood Hse,953 De Haro St,San Francisco,CA,94107,01/01/1947,,01/01/1947,,953 953 De Haro St St,San Francisco,94107,CA,,,false,false,D04 H23,Multiple,10,Potrero Hill,,"953 DE HARO ST
San Francisco, CA 94107
(37.758212, -122.400976)"
0387364-01-001,387364,Mental Health Assoctn Of Sf,Mental Health Assocatn Of Sf,870 Market St #928,San+francisco,CA,94102,01/01/1947,,01/01/1947,,870 Market St #928,San Francisco,94102,CA,,,false,false,,,,,,"870 MARKET ST
San Francisco, CA 94102
(37.784761, -122.407108)"
0377995-01-001,377995,Board Of Trts Of The Glide Fou,Board Of Trts Of The Glide Fou,330 Ellis St,San Francisco,CA,94102,01/01/1949,,01/01/1949,,330 Ellis St,San Francisco,94102,CA,,,false,false,,,,,,"330 ELLIS ST
San Francisco, CA 94102
(37.785017, -122.411661)"
